Time resolution is 1 ps
Simulation start!
Time = 13169000 ns, PN = 0, FSK_Out = 4094
Time = 13199000 ns, PN = 0, FSK_Out = 3695
Time = 13230000 ns, PN = 0, FSK_Out = 3312
Time = 13260000 ns, PN = 0, FSK_Out = 2958
Time = 13291000 ns, PN = 0, FSK_Out = 2648
Time = 13321000 ns, PN = 0, FSK_Out = 2394
Time = 13352000 ns, PN = 0, FSK_Out = 2205
Time = 13382000 ns, PN = 0, FSK_Out = 2089
Time = 13413000 ns, PN = 0, FSK_Out = 2050
Time = 13443000 ns, PN = 0, FSK_Out = 2090
Time = 13474000 ns, PN = 0, FSK_Out = 2206
Time = 13504000 ns, PN = 0, FSK_Out = 2396
Time = 13535000 ns, PN = 0, FSK_Out = 2650
Time = 13565000 ns, PN = 0, FSK_Out = 2961
Time = 13596000 ns, PN = 0, FSK_Out = 3314
Time = 13626000 ns, PN = 0, FSK_Out = 3698
Time = 13657000 ns, PN = 0, FSK_Out =    2
Time = 13687000 ns, PN = 0, FSK_Out =  401
Time = 13718000 ns, PN = 0, FSK_Out =  784
Time = 13748000 ns, PN = 0, FSK_Out = 1138
Time = 13779000 ns, PN = 0, FSK_Out = 1448
Time = 13809000 ns, PN = 0, FSK_Out = 1702
Time = 13840000 ns, PN = 0, FSK_Out = 1891
Time = 13870000 ns, PN = 0, FSK_Out = 2007
Time = 13901000 ns, PN = 0, FSK_Out = 2046
Time = 13931000 ns, PN = 0, FSK_Out = 2006
Time = 13962000 ns, PN = 0, FSK_Out = 1890
Time = 13993000 ns, PN = 0, FSK_Out = 1700
Time = 14023000 ns, PN = 0, FSK_Out = 1446
Time = 14054000 ns, PN = 0, FSK_Out = 1135
Time = 14084000 ns, PN = 0, FSK_Out =  782
Time = 14115000 ns, PN = 0, FSK_Out =  398
Time = 14145000 ns, PN = 0, FSK_Out = 4094
Time = 14176000 ns, PN = 0, FSK_Out = 3695
Time = 14206000 ns, PN = 0, FSK_Out = 3312
Time = 14237000 ns, PN = 0, FSK_Out = 2958
Time = 14267000 ns, PN = 0, FSK_Out = 2648
Time = 14298000 ns, PN = 0, FSK_Out = 2394
Time = 14328000 ns, PN = 0, FSK_Out = 2205
Time = 14359000 ns, PN = 0, FSK_Out = 2089
Time = 14389000 ns, PN = 0, FSK_Out = 2050
Time = 14420000 ns, PN = 0, FSK_Out = 2090
Time = 14450000 ns, PN = 0, FSK_Out = 2206
Time = 14481000 ns, PN = 0, FSK_Out = 2396
Time = 14511000 ns, PN = 0, FSK_Out = 2650
Time = 14542000 ns, PN = 0, FSK_Out = 2961
Time = 14572000 ns, PN = 0, FSK_Out = 3314
Time = 14603000 ns, PN = 0, FSK_Out = 3698
Time = 14633000 ns, PN = 0, FSK_Out =    2
Time = 14664000 ns, PN = 0, FSK_Out =  401
Time = 14694000 ns, PN = 0, FSK_Out =  784
Time = 14725000 ns, PN = 0, FSK_Out = 1138
Time = 14755000 ns, PN = 0, FSK_Out = 1448
Time = 14786000 ns, PN = 0, FSK_Out = 1702
Time = 14816000 ns, PN = 0, FSK_Out = 1891
Time = 14847000 ns, PN = 0, FSK_Out = 2007
Time = 14878000 ns, PN = 0, FSK_Out = 2046
Time = 14908000 ns, PN = 0, FSK_Out = 2006
Time = 14939000 ns, PN = 0, FSK_Out = 1890
Time = 14969000 ns, PN = 0, FSK_Out = 1700
Time = 15000000 ns, PN = 0, FSK_Out = 1446
Time = 15030000 ns, PN = 0, FSK_Out = 1135
Time = 15061000 ns, PN = 0, FSK_Out =  782
Time = 15091000 ns, PN = 0, FSK_Out =  398
Time = 15122000 ns, PN = 0, FSK_Out = 4094
Time = 15152000 ns, PN = 0, FSK_Out = 3695
Time = 15183000 ns, PN = 0, FSK_Out = 3312
Time = 15213000 ns, PN = 0, FSK_Out = 2958
Time = 15244000 ns, PN = 0, FSK_Out = 2648
Time = 15274000 ns, PN = 0, FSK_Out = 2394
Time = 15305000 ns, PN = 0, FSK_Out = 2205
Time = 15335000 ns, PN = 0, FSK_Out = 2089
Time = 15366000 ns, PN = 0, FSK_Out = 2050
